date,eur_usd_rate,previous_eur_pricing,percent_change_pricing,5_days_rolling_mean_pricing,10_days_rolling_mean_pricing,60_days_rolling_mean_pricing,120_days_rolling_mean_pricing,5_days_exp_rolling_mean_pricing,10_days_exp_rolling_mean_pricing,60_days_exp_rolling_mean_pricing,120_days_exp_rolling_mean_pricing
2000-10-13,0.8627,0.8648,-0.24283071230342168,0.8697400000000005,0.8733299999999995,0.8917466666666667,0.911127500000001,0.8699206640487237,0.8717476476230533,0.8898225955512234,0.9114004801535486
2000-10-16,0.8511,0.8627,-1.3446157412773911,0.8682200000000005,0.8719499999999994,0.89052,0.9106808333333343,0.8675137760324825,0.8701026207824981,0.8889333301233145,0.9105955135394405
2000-10-17,0.8496,0.8511,-0.1762425096933317,0.8645400000000004,0.8690399999999995,0.8891516666666667,0.9102025000000009,0.8620425173549884,0.8666475988220438,0.8876928930700911,0.9096121166214333
2000-10-18,0.8525,0.8496,0.3413370998116777,0.8600400000000004,0.8663699999999995,0.8876283333333334,0.9096858333333342,0.8578950115699924,0.863548035399854,0.8864439457563176,0.9086201808095088
2000-10-19,0.8411,0.8525,-1.3372434017595398,0.8561400000000005,0.8643199999999995,0.8861866666666667,0.9093625000000009,0.856096674379995,0.8615393016907896,0.8853310295020121,0.9076925745151367
2000-10-20,0.8452,0.8411,0.48745690167637534,0.8514000000000005,0.8605699999999994,0.8845566666666667,0.9089158333333341,0.8510977829199967,0.8578230650197369,0.8838808318134216,0.9065918708041427
2000-10-23,0.8377,0.8452,-0.8873639375295731,0.8479000000000004,0.8580599999999994,0.8831833333333333,0.9084725000000009,0.8491318552799978,0.8555279622888756,0.8826126078195389,0.9055771291379586
2000-10-24,0.8386,0.8377,0.10743702996299533,0.8452200000000005,0.8548799999999993,0.88174,0.9079933333333342,0.8453212368533319,0.8522865145999892,0.8811400633008655,0.9044551931191495
2000-10-25,0.8307,0.8386,-0.9420462675888407,0.8430200000000004,0.8515299999999992,0.8802766666666666,0.9075000000000009,0.843080824568888,0.8497980573999911,0.8797453071270666,0.9033666775304032
2000-10-26,0.8252,0.8307,-0.6620922113879799,0.8386600000000005,0.8473999999999993,0.8788849999999999,0.9068333333333342,0.8389538830459253,0.8463256833272654,0.8781372642704414,0.9021655754224627
2000-10-27,0.8324,0.8252,0.8725157537566631,0.8354800000000004,0.8434399999999993,0.8775916666666667,0.9061441666666674,0.8343692553639503,0.8424846499950353,0.8764016162615744,0.9008934171510171
2000-10-30,0.8482,0.8324,1.8981259010091214,0.8329200000000003,0.8404099999999992,0.8764133333333333,0.9055566666666675,0.8337128369093003,0.8406510772686652,0.8749589403185719,0.8997612945534796
2000-10-31,0.8417,0.8482,-0.7663286960622436,0.8350200000000004,0.8401199999999992,0.8754099999999999,0.9050025000000008,0.8385418912728669,0.8420236086743623,0.8740815980130449,0.8989090417509428
2000-11-01,0.8554,0.8417,1.627658310561963,0.8356400000000004,0.8393299999999991,0.8743599999999999,0.904462500000001,0.8395945941819113,0.8419647707335691,0.8730199062749122,0.8979634377550595
